,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
1986,6f4CBalvvh6kJCdeNQvSVp,4xPxYiZyp9SWFG3MIFkee5,Robbie Seay Band,39,20983,"anthem worship,ccm,christian alternative rock,christian music,christian rock,christian uplift,worship",0.00016,326369,4,0.000268,0.0357,0.774,-6.327,117.008,11,0.307,0.516,0.123
1987,7IOZFGMPwzbSR9ccHntvCt,3RHwCqK7oe6mucuIgz62BF,Nicole C. Mullen,41,41086,"ccm,christian alternative rock,christian music,worship",9.41e-06,298000,4,0.248,0.0257,0.432,-5.273,105.982,7,0.135,0.494,0.0544
1988,08CfSZ1KwUe7DZchPRgsZi,74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,1768385,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",0.0125,589200,4,0.156,0.0383,0.443,-11.713,124.96,2,0.0519,0.241,0.39
1989,3MjlBgYP8aY3YonZsCHvh0,7ory6rfLtmQet7a16o4vvC,Influence Music,54,6990,"anthem worship,world worship",1.36e-06,360936,4,0.0392,0.0424,0.683,-6.913,143.675,4,0.108,0.328,0.108
1990,6zvSkAEtFZIJD7kVeo5by4,1XnyRY1hSHsZxiIEX8Nzl5,The Belonging Co,57,20733,"anthem worship,world worship",0.0,486945,4,0.00227,0.0285,0.583,-6.864,144.977,9,0.0711,0.424,0.115
1991,3MHcy2Io9Z6LGaYwO3cNZk,4EOKpEhAFc9ISyMJHZlQYm,North Point InsideOut,57,19892,"anthem worship,christian music,world worship,worship",1.5e-06,320773,4,0.00206,0.0629,0.957,-3.335,100.029,11,0.329,0.496,0.114
1992,2tBQRgnLsifNxyddKjYB9H,4EOKpEhAFc9ISyMJHZlQYm,North Point InsideOut,57,19892,"anthem worship,christian music,world worship,worship",0.0,354493,3,0.181,0.0472,0.611,-6.855,149.995,11,0.142,0.237,0.68
1993,10UqJFFY9h3fD6Fxg42kHN,2LFbgsbEhfilNpQYW7mied,Shane & Shane,65,150638,"alternative ccm,anthem worship,ccm,christian alternative rock,christian music,christian rock,indiecoustica,world worship,worship",1.59e-06,352655,3,0.0861,0.0317,0.579,-7.195,140.011,0,0.161,0.253,0.285
1994,3vk0GnIa9jp1B00felbJQE,0Onvkz1Nbs4wHXXUwOIGk8,Jesus Culture,66,547052,"anthem worship,ccm,christian music,deep ccm,world worship,worship",0.0,487506,4,0.343,0.0365,0.666,-5.809,135.784,9,0.179,0.317,0.314
1995,5Yd2LrQZg3ouzzvgC1QKvJ,3i0j8jwJKHchZU40nbd2Xt,Worship Central,48,31512,"anthem worship,deep ccm,german worship,world worship,worship",0.0,499760,4,0.0104,0.0397,0.669,-7.791,145.923,5,0.191,0.389,0.216
