,label,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness,track_name
1670,0,5ecN8ysoiyCrdGmUyyEOba,3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,0.6900000000000001,0.010780251336044525,"anthem worship,ccm,christian alternative rock,christian indie,christian music,world worship,worship",0.897,0.05568007503846056,0.75,0.00121,0.0694,0.557,0.7719626521509033,0.30501551600668386,0.8181818181818182,0.0696,0.688,0.26,Never Give Up
1671,0,5hEbWH2PJzc19N83i04WyQ,6e8OTLDQpaz1Tl2GEaxsNj,Matthew West,0.62,0.009354257902642153,"anthem worship,ccm,christian alternative rock,christian music,worship",0.0,0.05841770889845189,0.75,0.00123,0.0432,0.659,0.8721932410977545,0.2605469060817442,0.36363636363636365,0.191,0.292,0.0757,Mercy Is A Song
1672,0,4YbUkh9PrSPhxrdNZSH7Ut,5m8b1Ofn4kNkzRV84GopBU,Austin French,0.51,0.0003288226869370188,"anthem worship,ccm,christian pop",0.0,0.04504619165330805,0.5,0.00792,0.0462,0.752,0.9061011567248809,0.39635572766092886,0.5454545454545454,0.569,0.375,0.272,Born Again (feat. Zauntee)
1673,0,3lrdSlKaiOHR1vXyS4Ctjj,5ThfTvfTCfzJAEvtEI2Jf8,Chris August,0.46,0.0017315566528374015,"anthem worship,ccm,christian alternative rock,christian music,worship",1.35e-05,0.06708818244505517,0.75,0.138,0.082,0.645,0.8685264988281545,0.24657454313980326,0.4545454545454546,0.517,0.714,0.164,Nothing's Beyond Broken
1674,0,6IaU8sUBHMS5GJ5wyNlyWS,5Yu3b48Y29bZlI1cLPOZJz,Danny Gokey,0.58,0.0035086561524826886,"anthem worship,ccm,christian music,idol",0.0,0.04697506775852677,0.75,0.0122,0.0312,0.751,0.8884289710440765,0.3637164151393789,0.6363636363636364,0.875,0.72,0.334,If You Ain't In It
1675,0,05wFnzwWSyuSRwddvKkrdd,235ZVf4thM2FFfyE4ACwB3,Dan Bremnes,0.47000000000000003,0.0003734846736655047,"anthem worship,canadian ccm,ccm,christian indie,christian pop",0.000252,0.04538763001672101,0.75,0.431,0.0308,0.756,0.8888636879110909,0.30495716521231736,0.09090909090909091,0.796,0.683,0.0695,Wherever I Go
1676,0,6XfZ63vc5I1IUDRfw2FinH,2H3EMYFS69dhMmrX9JTkZp,Apollo LTD,0.5,7.327803579439212e-05,indie rockism,2.26e-06,0.052157077243049535,0.75,0.0165,0.0636,0.74,0.8687722083616843,0.2388563244304167,0.0,0.572,0.527,0.121,Gold
1677,0,6NpFufcvBekFkxBPCgiTpZ,3RsGHkHYZW0WkXcEf0CRdR,Jasmine Murray,0.38,0.00018986105765441102,"ccm,christian pop",0.0,0.05403972270526127,0.75,0.536,0.0638,0.773,0.8792810161034247,0.6069755722356311,0.9090909090909092,0.501,0.513,0.106,While You Were Holding Me
1678,0,3nZZcygN3k134hSAGncvzF,7v35CkHBaT1SStgQHl95a0,Tenth Avenue North,0.6,0.00815533591349154,"anthem worship,ccm,christian alternative rock,christian music,christian rock,world worship,worship",0.0,0.059152943220972455,0.75,0.00793,0.0448,0.76,0.8701141604294246,0.33139537967800975,0.6363636363636364,0.283,0.525,0.196,Afraid
1679,0,1H4CbS8R3v9GQw3wKvfWCv,5aBxFPaaGk9204ssHUvXWN,Michael W. Smith,0.63,0.00529846860570634,"anthem worship,ccm,christian alternative rock,christian music,christian relaxative,world worship,worship",0.00224,0.055823222933072514,0.75,0.13,0.0257,0.646,0.8920201103802827,0.41650266557037907,0.6363636363636364,0.129,0.495,0.107,A Million Lights
1680,0,1wdx2wktHSsZFItDRAEILL,0wnsM0ziqToBwQeEbH0akL,Social Club Misfits,0.5700000000000001,0.0021903419120296464,"ccm,christian hip hop,christian trap,miami hip hop,rap cristiano",0.0,0.059769258961782305,0.75,0.256,0.0505,0.779,0.9150412035986996,0.32629764209744583,0.18181818181818182,0.457,0.699,0.0982,Tuyo
1681,0,6tiBKuHHKUS7pmAQRpaGic,4wgCtJHJAspY8Pwr09Cgkn,Central Live,0.34,8.153907491741164e-05,anthem worship,0.0,0.0930405615407838,0.75,0.0236,0.0329,0.656,0.8800937476374082,0.2516828899557064,0.7272727272727273,0.178,0.421,0.573,Rebel Heart (Live)
1682,0,1HunEnhULBXS1RlftCK8iK,67xUUajI1dXaeY4e4ouwEN,Switch,0.47000000000000003,4.1233774527578666e-05,"ccm,cedm",0.0,0.049783161574426325,0.75,0.145,0.0351,0.773,0.8441256520753004,0.4157494098612843,0.0,0.49,0.623,0.101,Lifeline
1683,0,1wFyoNOmo2XLRwN5BTJrAL,3vcFXwLEUdfWMu7gTQKyot,Steven Curtis Chapman,0.54,0.004765238766290227,"anthem worship,ccm,christian alternative rock,christian music,worship",0.0,0.0570065602953414,0.75,0.0824,0.0489,0.867,0.8906970590458909,0.3048192451529056,0.36363636363636365,0.537,0.528,0.208,Remember to Remember
1684,0,6R7zrNJLHMX7XqTsODGqih,7yZC6AEhvCD5NFR8yDUxCG,Riley Clemmons,0.5,0.0003343697247343201,"anthem worship,ccm,christian music,christian pop",0.0,0.05045267040447914,0.75,0.188,0.138,0.705,0.8433507220080139,0.29439036681431185,0.18181818181818182,0.495,0.734,0.0573,Better For It
1685,0,3GafctjtrkrtCVOSJenddN,6qk2W9h3eE5UtPJlIatzsY,Meredith Andrews,0.54,0.0014935339751660783,"anthem worship,ccm,christian alternative rock,christian music,world worship,worship",1.94e-06,0.0582968408317951,0.75,0.00366,0.0363,0.478,0.8554849928177213,0.5116993342704824,0.8181818181818182,0.128,0.472,0.146,Needing You Now
1686,0,1xwUegXd8r2dFkxzvOlfw1,6QFuGrftxjfONIARygYHIe,Trent Dabbs,0.46,0.0003329413029839421,"acoustic pop,christian indie,neo mellow",0.00881,0.06315969178086007,0.75,0.312,0.0298,0.647,0.8501360852801088,0.5010529666074318,0.2727272727272727,0.342,0.552,0.139,Good & Lasting
1687,0,5pnA5pVIMZ39vNVXmaW8hl,7v35CkHBaT1SStgQHl95a0,Tenth Avenue North,0.6,0.00815533591349154,"anthem worship,ccm,christian alternative rock,christian music,christian rock,world worship,worship",0.0,0.06054738195311656,0.75,0.0141,0.0377,0.722,0.8753118621002494,0.37360422247566516,1.0,0.474,0.636,0.0847,Love Anyway
1688,0,6L84bCBnlpAApr44URqGqq,0Rta8FGUn7TLTsFiumWoC4,Cade Thompson,0.31,2.511641577748008e-05,christian pop,0.0,0.06286392706475522,0.75,0.116,0.0292,0.565,0.8278521206622816,0.44845768241254014,1.0,0.339,0.566,0.0923,Almost Dawn
1689,0,7sWYdjWzHzGI6oCgN2l5tH,2JrDkW63FG9GotlYtmuwTs,Carmen Justice,0.26,5.213739388879751e-05,christian pop,3.21e-06,0.0523375438494864,0.75,0.136,0.0893,0.696,0.8575073712860058,0.7460149059756519,0.18181818181818182,0.245,0.47,0.115,Lose Myself to Find Myself
1690,0,5IqMNbUGzsH26SeSa7A4Oo,0tO2sMkL88ISowznATo1sB,Ben & Noelle Kilgore,0.24,1.3070059015958827e-05,,0.000222,0.07299623582306698,0.75,0.294,0.024,0.484,0.8030165570424131,0.32645147600986657,0.0,0.464,0.627,0.115,Grace Grace
1691,0,69KGptFyLwxlZl2CtIEMwC,40m2GTBTPGnEOLgO9yGkKe,Pursuit Worship,0.19,3.523440317599101e-06,,3.5e-06,0.07113587018881042,0.5,0.513,0.0343,0.47,0.8676192636274287,0.26588335145744374,0.8181818181818182,0.0657,0.161,0.0859,Everything
1692,0,3udaxR7PQWW4VbkkuZRB8R,0oPd8f0W82Tgrazx2PYNab,GAWVI,0.6,0.0017160582768458,"ccm,christian hip hop,christian trap,miami hip hop,rap cristiano",2.3e-06,0.03751031834532174,0.75,0.111,0.0317,0.634,0.8604180842216678,0.5227223297880806,0.5454545454545454,0.393,0.613,0.199,Baker Act
1693,0,1F9OPMgdvuiCCAaQ6SlgEv,1Q9nxD19emMUTTWtFi7jZc,The Afters,0.58,0.0034576376889650204,"anthem worship,ccm,christian alternative rock,christian music,christian rock,worship",0.0,0.051989978533385765,0.75,0.222,0.028,0.591,0.8827020488394949,0.2679150200249317,0.9090909090909092,0.266,0.495,0.0882,Fear No More
1694,0,4JrsERAKMyJRGKSRb8qjzw,5Toah6plT6mSqAKVffLAj5,Alive City,0.31,4.1852757286075806e-05,christian pop,0.0,0.050165817619556345,0.75,0.0418,0.0372,0.656,0.8860474786421713,0.4699519932100894,0.36363636363636365,0.39,0.662,0.298,Coming Alive
1695,0,4nJcnNVEtqnDlcNdq5raW4,7ory6rfLtmQet7a16o4vvC,Influence Music,0.53,0.00022754758483521762,"anthem worship,ccm,world worship",0.0,0.12534826156072423,0.75,0.0562,0.0315,0.608,0.8397406819384592,0.5729994960613214,0.7272727272727273,0.354,0.296,0.0993,Shout To The Lord / What A Beautiful Name - Live
1696,0,1wjObas5iDIn6xCyXXUZaj,6vIEpnoY5ajDIcFQdbzz2j,Corey Wise,0.33,5.397053513511596e-05,"christian hip hop,christian trap",0.0,0.05198134510005314,0.75,0.0496,0.074,0.548,0.793849701368413,0.612524202318118,0.8181818181818182,0.236,0.609,0.26,Free Fall
1697,0,3lAe5r2rec7CXGGvcGOxT6,2q5QIs6iibW6xyHZZRSeh2,Hyper Fenton,0.42,9.053813194479312e-05,"christian hip hop,christian pop,christian trap",0.0,0.05458585698801234,0.75,0.1,0.0295,0.441,0.8285136463294775,0.3741134657719545,0.5454545454545454,0.116,0.792,0.332,Stir
1698,0,0EEdBZ1mKNAsOOpkIReAUR,7zIkuP3n59Vf3OMmxNT5sb,Anna Ly,0.17,2.0093132621984062e-05,,0.0,0.0543134860912604,0.75,0.0705,0.0451,0.832,0.8688478112950782,0.31019812746996267,0.36363636363636365,0.365,0.634,0.0493,This Isn't Where It Ends
1699,0,62FRmh783oFrT8HSH2oqOP,2H3EMYFS69dhMmrX9JTkZp,Apollo LTD,0.5,7.327803579439212e-05,indie rockism,0.00629,0.058666407478001455,0.75,0.00203,0.038,0.777,0.8491154456792923,0.3900379280163383,0.0,0.277,0.596,0.12,On The Way Up
1700,0,3JrWuJlHEU2itCSctoDhb4,0QT3cPPXMGYtTG3kN8Ez54,Matthew Parker,0.46,0.000397744036392758,"anthem worship,ccm,cedm,christian dance,christian hip hop,christian pop",0.0,0.05445189952243189,0.75,0.319,0.0407,0.75,0.85268768428215,0.4268572792615972,0.5454545454545454,0.733,0.774,0.143,Good Memories
